name,token,type,batch,address,image
Austin Corgi,85,special,,0x44d19f3da0fcb4b4dd4baaad77ad35e962f6b921,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_85.jpg
24 Corgi$,86,special,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_86.jpg
Bebis Corgi,87,special,,0xc169fd8055ad90a4e40b4106b570d0d59db6a2d8,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_87.jpg
Spirit of King Corgi,88,main,,0xe7ba70a98b4b758df03cc4bd1f0e7f2883b1cf0d,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_88.jpg
Corgi Drakon,89,special,,0xe66b9c6b6363195e75f806bf5519e578f02114ce,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_89.jpg
DoubleSharp Corgi,90,special,,0x61125f52cee83ed5d7a6cd14598d34974b11865e,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_90.jpg
Corgi Clay,91,special,,0x6e432261013a87daad15648b9590c5c24f4b68b3,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_91.jpg
Spirit of Corgi,92,main,,0x8b478359b5593747473e67f78b1f0048c1c523ed,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_92.jpg
Sensei Corgi,93,main,,0x06f9e5f8f5c170b9eece58676d932bcc398f52e5,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_93.gif
Time Traveling Corgi,94,main,,0x28a173026fa5b1c8efbac54f289cf37280610cc6,https://media-nft.paintswap.finance/250_0x250c1271bd7c99c6570529f1f2571d455e49793d_94.jpg
